station,lon,lat,mu_ann_tg,mu_ann_gos,mu_semi_tg,mu_semi_gos,psi_ann_tg,psi_ann_gos,psi_semi_tg,psi_semi_gos
Bundaberg,152.35,-24.833,0.0483212869546,0.0269248580040081,0.0173374460873827,NaN,0.0145655355726111,NaN,NaN,NaN
Cabo San Lucas,-109.908,22.88,0.057381854320711,0.0424163925082792,0.0378378651449114,0.00695879912908111,0.0144840794088199,0.00703009557415829,NaN,NaN
Calais,1.86772001,50.9693985,0.258382907937415,0.242932377794289,NaN,NaN,0.0994323710944238,0.0593421872064268,NaN,NaN
Callao,-77.15,-12.05,0.0211028045114388,0.0145405600940817,0.0235605362183631,0.00545302504386327,0.00839469036076972,NaN,NaN,NaN
Cape Town,18.417,-33.9,0.0429898991509366,0.0206641114486082,0.0188147755222352,0.0118619626931676,0.0147277028047452,0.0135629250901751,NaN,NaN
Carnarvon,113.617,-24.883,0.0586422672132277,0.0281499914787056,0.068302940658561,0.019573013080834,0.0176665243174768,0.0125616365855568,NaN,NaN
Castletownbere,-9.18299999999999,51.533,0.0912549214930751,0.0820748318129218,0.0250757538803223,0.0263764965592571,0.0390647667504953,0.045200884294414,NaN,NaN
Catania,15.093825,37.49808056,0.0316493725054068,0.0387859328549579,0.0151687224037656,NaN,0.025667458931544,0.0273233362153965,NaN,NaN
Charleston SC,-79.933,32.783,0.0331042857386306,0.0203373543190382,0.0720233792977933,0.0426844911763371,NaN,NaN,NaN,NaN
Cherbourg,-1.635508,49.651447,0.165902934331886,0.145207887888886,0.0224660159593396,NaN,0.046631834231188,0.0555748841198729,NaN,NaN
Chittagong,91.827,22.237,0.385899934692958,0.240225008223379,0.0990403593824381,0.02954559082767,0.0757991806544246,0.0388507767215496,NaN,NaN
Churchill,-94.2,58.783,0.105483368795416,0.0743901725536653,0.040491151164126,0.0400228365740786,0.0309371635772383,0.017094371078004,NaN,NaN
Colombo,79.858,6.963,0.073749325956932,0.0145574368631054,NaN,0.0036034400628566,NaN,NaN,NaN,NaN
Coquimbo,-71.3352777777778,-29.9497222222222,0.0120627623749206,0.00773918404169974,0.0165566341930478,0.00482205693273109,NaN,0.00340111804430543,NaN,NaN
Crescent City,-124.183,41.745,0.150337915649394,0.0337756637471967,0.0328158168257702,NaN,0.0683527881067225,0.0336206845033128,NaN,NaN
Cristobal,-79.9,9.35,0.020060924902778,0.00295504261860976,NaN,0.00416723120378507,0.00851072771662917,0.00124621837933807,NaN,NaN
Cromer,1.301639,52.934194,0.301206498921729,0.269257905241007,NaN,NaN,0.116732432270132,0.103643984920647,NaN,NaN
Cuxhaven,8.717,53.867,0.446393936836403,0.452669634394325,NaN,0.0580661072086678,0.231467108062357,0.161756301314645,NaN,NaN
Dakar,-17.4200000000001,14.677,0.0642229537830362,0.00938443687144306,NaN,0.00766491043269261,0.0091289210065867,NaN,NaN,NaN
Darwin,130.85,-12.467,0.147621339243475,0.0364472174671606,0.0242125740828872,NaN,0.0224062543101363,0.0127726837893099,NaN,NaN
Davao,125.633,7.083,0.0295025054198402,0.00637211970487059,0.0161855138960059,0.00379264972024836,0.00721139979078265,0.00299466723855924,NaN,NaN
Davis,77.967,-68.45,0.0488853081059995,0.0993894921322154,NaN,0.0262509550814632,NaN,0.0136541755534928,NaN,NaN
Duck Pier,-75.74,36.183,0.0482182508566383,0.0375462615887388,0.0740450669399556,0.044431941415951,0.0239242783344974,0.0204309492758927,NaN,NaN
Dunkerque,2.366698,51.048091,0.308032689974821,0.28908723279621,NaN,NaN,0.0984052591825315,0.0860390111618782,NaN,NaN
Durban,31,-29.883,NaN,0.00739652451970518,NaN,NaN,NaN,0.00870756806675664,NaN,NaN
Dutch Harbor,-166.538,53.88,0.133390279280594,0.117375113919023,NaN,NaN,0.013814635787519,0.0101126280830109,NaN,NaN
East London,27.917,-33,0.049837048482976,0.0108969057148578,NaN,NaN,NaN,0.00958377533327029,NaN,NaN
El Hierro,-17.9,27.78,0.0107489852596792,0.0072446916065903,0.03158924064921,0.00902272370875336,0.012242975175034,0.0142537805808424,NaN,NaN
Esperance,121.9,-33.867,0.140574667002587,0.103751256573612,0.0254083276172616,0.0203307494492874,0.022357639429658,0.0219158123542843,NaN,NaN
Faraday,-64.267,-65.25,0.0450341191293579,0.0639347595205691,0.0244813499374953,0.0358977858430363,0.0179501518450179,0.0189774400548072,NaN,NaN
Ferrol,-8.33,43.46,0.0971616061659589,0.0533647545653018,0.0297414274822074,0.0374703269129828,0.0304110833228693,0.0382293419162193,NaN,NaN
Fort Denison,151.233,-33.85,0.0489169055041649,0.0342047131103098,NaN,0.01296511083894,NaN,0.00969770573267719,NaN,NaN
Fort Pulaski,-80.902,32.033,0.0547427593986164,0.0259396602726963,0.0701177894671816,0.0473671647126572,0.0340545874007717,NaN,NaN,NaN
Fort de France,-61.067,14.6,0.0478225685005103,0.0140774487788129,0.0164923213038462,0.0108397440269824,NaN,0.00332740013974875,NaN,NaN
Fremantle,115.733,-32.05,0.151369138445542,0.0690841804628889,0.0407306102426418,0.0168241382275468,0.0249586847747733,0.0128609302064198,NaN,NaN
Funchal,-16.9069999999999,32.64,0.0311476814385983,0.00881671307099193,0.0245060262789074,0.0178460199214979,0.0430701439700798,0.0249549571096245,NaN,NaN
Galveston Pier 21,-94.793,29.31,NaN,0.0585463572436492,0.0854560471618159,0.0659974602979387,0.0386197283563738,NaN,NaN,NaN
Galveston Pier,-94.788,29.285,NaN,0.0585463572436492,0.0834401889118553,0.0659974602979387,0.0365074350254808,NaN,NaN,NaN
Gandia,-0.15,39,0.044595485704265,0.0227299050816782,NaN,0.0182753976053081,0.0427100673635678,0.0351532357342478,NaN,NaN
