station,lon,lat
Point_227,176.75,-46.3974609375
Point_228,176.75,-40.6013488769531
Point_229,176.75,-34.255500793457
Point_230,176.75,-27.392578125
Point_231,176.75,-20.0761108398438
Point_232,176.75,-12.4020042419434
Point_233,176.75,-4.49538087844849
Point_234,176.75,3.49782538414001
Point_235,176.75,11.4235544204712
Point_236,176.75,19.1340980529785
Point_237,176.750137329102,26.504732131958
Point_238,176.753143310547,33.4607276916504
Point_239,176.767807006836,39.9664115905762
Point_240,176.810699462891,46.0148429870605
Point_241,176.909118652344,51.6258659362793
Point_242,177.106918334961,56.8423728942871
Point_243,177.47607421875,61.7231636047363
Point_244,179.335357666016,70.7257080078125
Point_245,-178.468734741211,74.9293746948242
Point_246,-174.197006225586,78.9119110107422
Point_247,-165.043930053711,82.5282287597656
Point_248,-143.007537841797,85.3444900512695
Point_249,-175.453369140625,-75.0401000976562
Point_250,-175.297805786133,-72.8462524414062
Point_251,-175.254135131836,-70.3447418212891
Point_252,-175.25,-67.487548828125
Point_253,-175.25,-64.2225189208984
Point_254,-175.25,-60.5178337097168
Point_255,-175.25,-56.3349456787109
Point_256,-175.25,-51.6374168395996
Point_257,-175.25,-46.3974609375
Point_258,-175.25,-40.6013488769531
Point_259,-175.25,-34.255500793457
Point_260,-175.25,-27.392578125
Point_261,-175.25,-20.0761108398438
Point_262,-175.25,-12.4020042419434
Point_263,-175.25,-4.49538087844849
Point_264,-175.25,3.49782538414001
Point_265,-175.25,11.4235544204712
Point_266,-175.25,19.1340980529785
Point_267,-175.249374389648,26.5031280517578
Point_268,-175.236999511719,33.4463233947754
Point_269,-175.180572509766,39.920654296875
Point_270,-175.030517578125,45.9174041748047
Point_271,-174.722305297852,51.4566459655762
Point_272,-174.169967651367,56.5803604125977
Point_273,-173.247055053711,61.3435363769531
Point_274,-169.309005737305,69.9957504272461
Point_275,-165.262802124023,73.9212265014648
Point_276,-158.348678588867,77.4908599853516
Point_277,-146.367218017578,80.4677276611328
Point_278,-127.055404663086,82.4119491577148
Point_279,-167.374572753906,-75.0900573730469
Point_280,-167.279312133789,-72.8666534423828
Point_281,-167.252532958984,-70.3486022949219
Point_282,-167.25,-67.4875564575195
Point_283,-167.25,-64.2225189208984
Point_284,-167.25,-60.5178337097168
Point_285,-167.25,-56.3349456787109
Point_286,-167.25,-51.6374168395996
Point_287,-167.25,-46.3974609375
Point_288,-167.25,-40.6013488769531
Point_289,-167.25,-34.255500793457
Point_290,-167.25,-27.392578125
Point_291,-167.25,-20.0761108398438
Point_292,-167.25,-12.4020042419434
Point_293,-167.25,-4.49538087844849
Point_294,-167.25,3.49782538414001
Point_295,-167.25,11.4235544204712
Point_296,-167.25,19.1340980529785
Point_297,-167.248992919922,26.4997406005859
Point_298,-167.229080200195,33.4162826538086
Point_299,-167.139511108398,39.8271903991699
Point_300,-166.90544128418,45.7240715026855
