lon,lat,MOM
99,7.72647523880005,0.1813586
99.25,-65.6002502441406,0.9717739
99.25,-65.4967651367188,0.9376253
99.25,-1.99959397315979,0.09447585
99.25,-1.49982869625092,0.1203784
99.25,-1.24990081787109,0.1200489
99.25,0,0.1680925
99.25,3.49782538414001,0.1807233
99.25,7.47867298126221,0.1856251
99.25,9.45676803588867,1.111543
99.25,9.70328140258789,1.048139
99.25,9.94961357116699,0.9507058
99.25,10.1957597732544,0.8606563
99.5,-65.6002502441406,0.9140202
99.5,-2.24942183494568,0.09404118
99.5,-1.74972796440125,0.1182633
99.5,0,0.1935446
99.5,3.49782538414001,0.1812391
99.5,6.98265075683594,0.1777855
99.5,7.2307300567627,0.2053517
99.5,9.45676803588867,0.9813695
99.5,10.4417161941528,0.6892869
99.5,10.687479019165,0.7046643
99.75,-65.6002502441406,0.8802094
99.75,-2.49920701980591,0.0939632
99.75,-1.99959397315979,0.1186842
99.75,-0.249999210238457,0.1538315
99.75,3.24825859069824,0.1873031
99.75,6.73443984985352,0.1899604
99.75,9.45676803588867,0.8287636
99.75,10.9330415725708,0.640846
99.75,11.1784019470215,0.650924
99.75,11.4235544204712,0.6522141
99.75,11.6684951782227,0.6542068
100,-65.6002502441406,0.8508086
100,-2.99863004684448,0.09436132
100,-2.7489447593689,0.09309363
100,-2.24942183494568,0.1200022
100,-0.749978601932526,0.1247363
100,-0.499993652105331,0.1247537
100,2.99863004684448,0.1963447
100,6.23764181137085,0.224116
100,6.48610210418701,0.2275624
100,8.71618556976318,0.8212619
100,8.96321582794189,0.7746788
100,9.21007823944092,0.7401245
100,11.9132204055786,0.6448954
100,12.1577243804932,0.7447895
100,12.4020042419434,0.8843706
100,12.6460552215576,0.9724795
100.25,-65.4967651367188,0.8140023
100.25,-3.24825859069824,0.09484214
100.25,-2.49920701980591,0.1204166
100.25,-1.24990081787109,0.1270252
100.25,-0.999949216842651,0.1256133
100.25,2.7489447593689,0.2393458
100.25,4.99366569519043,0.1462381
100.25,5.24266910552979,0.1439917
100.25,5.49157285690308,0.1566879
100.25,5.74037265777588,0.164985
100.25,5.98906373977661,0.1952382
100.25,8.46899127960205,0.8069192
100.25,12.8898735046387,1.002526
100.25,13.1334543228149,1.042115
100.25,13.3767938613892,1.053575
100.5,-65.3928756713867,0.7617803
100.5,-3.49782538414001,0.09533066
100.5,-2.99863004684448,0.1216397
100.5,-2.7489447593689,0.1225537
100.5,-1.74972796440125,0.1240889
100.5,-1.49982869625092,0.1280635
100.5,2.24942183494568,0.3861445
100.5,2.49920701980591,0.3287162
100.5,4.24610805511475,0.1582586
100.5,4.49538087844849,0.1549873
100.5,4.74456834793091,0.1538124
100.5,7.2307300567627,0.8133251
100.5,7.47867298126221,0.7796518
100.5,7.72647523880005,0.7642769
100.5,7.97413206100464,0.7532989
100.5,8.22163867950439,0.7500659
100.5,13.3767938613892,0.9776933
100.75,-65.3928756713867,0.7612032
100.75,-3.24825859069824,0.1147012
100.75,-2.24942183494568,0.1257717
100.75,-1.99959397315979,0.1248729
100.75,2.24942183494568,0.409759
100.75,3.74732565879822,0.1839492
100.75,3.99675464630127,0.1786697
100.75,7.2307300567627,0.7503725
100.75,12.6460552215576,0.7794536
100.75,12.8898735046387,0.855548
100.75,13.1334543228149,0.9049054
100.75,13.3767938613892,0.9316421
